ocorrencia_classificacao;ocorrencia_uf;total_aeronaves_envolvidas;ocorrencia_saida_pista;aeronave_tipo_veiculo;aeronave_motor_tipo;aeronave_motor_quantidade;aeronave_fase_operacao;aeronave_tipo_operacao;aeronave_nivel_dano
INCIDENTE GRAVE;PR;1;SIM;AVIÃO;PISTÃO;BIMOTOR;POUSO;PRIVADA;LEVE
INCIDENTE GRAVE;MG;1;NÃO;AVIÃO;PISTÃO;BIMOTOR;CORRIDA APÓS POUSO;PRIVADA;LEVE
INCIDENTE;GO;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;DECOLAGEM;PRIVADA;LEVE
INCIDENTE;RJ;1;NÃO;AVIÃO;***;SEM TRAÇÃO;TÁXI;REGULAR;NENHUM
INCIDENTE;AM;1;NÃO;AVIÃO;JATO;BIMOTOR;DECOLAGEM;TÁXI AÉREO;LEVE
INCIDENTE;SP;1;NÃO;AVIÃO;JATO;BIMOTOR;ESTACIONAMENTO;REGULAR;LEVE
INCIDENTE;SP;1;NÃO;AVIÃO;JATO;BIMOTOR;PROCEDIMENTO DE APROXIMAÇÃO IFR;REGULAR;NENHUM
INCIDENTE;SP;2;NÃO;AVIÃO;PISTÃO;MONOMOTOR;DECOLAGEM;PRIVADA;NENHUM
INCIDENTE;PA;1;NÃO;AVIÃO;JATO;BIMOTOR;APROXIMAÇÃO FINAL;REGULAR;NENHUM
INCIDENTE;AP;1;NÃO;AVIÃO;TURBOÉLICE;BIMOTOR;CIRCUITO DE TRÁFEGO;PRIVADA;LEVE
ACIDENTE;BA;1;SIM;AVIÃO;PISTÃO;BIMOTOR;CORRIDA APÓS POUSO;NÃO REGULAR;SUBSTANCIAL
ACIDENTE;MS;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;SUBIDA;AGRÍCOLA;SUBSTANCIAL
INCIDENTE;SP;1;NÃO;AVIÃO;TURBOÉLICE;MONOMOTOR;CRUZEIRO;PRIVADA;LEVE
INCIDENTE;SC;1;NÃO;AVIÃO;TURBOÉLICE;BIMOTOR;CORRIDA APÓS POUSO;REGULAR;NENHUM
INCIDENTE;PR;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;CRUZEIRO;INSTRUÇÃO;NENHUM
INCIDENTE;AM;1;NÃO;AVIÃO;TURBOÉLICE;BIMOTOR;CORRIDA APÓS POUSO;PRIVADA;NENHUM
INCIDENTE;PA;1;NÃO;AVIÃO;JATO;BIMOTOR;DECOLAGEM;PRIVADA;LEVE
INCIDENTE;RJ;1;NÃO;AVIÃO;JATO;TRIMOTOR;DECOLAGEM;REGULAR;NENHUM
INCIDENTE;PR;1;SIM;AVIÃO;JATO;BIMOTOR;POUSO;PRIVADA;LEVE
INCIDENTE;PE;1;NÃO;AVIÃO;JATO;BIMOTOR;CORRIDA APÓS POUSO;REGULAR;NENHUM
INCIDENTE;MG;1;NÃO;AVIÃO;TURBOÉLICE;BIMOTOR;DECOLAGEM;REGULAR;NENHUM
INCIDENTE;RJ;1;NÃO;AVIÃO;PISTÃO;BIMOTOR;ARREMETIDA NO SOLO;INSTRUÇÃO;LEVE
INCIDENTE;MS;2;NÃO;AVIÃO;PISTÃO;MONOMOTOR;POUSO;POLICIAL;NENHUM
ACIDENTE;PR;1;NÃO;HELICÓPTERO;PISTÃO;MONOMOTOR;INDETERMINADA;***;DESTRUÍDA
INCIDENTE;SP;2;NÃO;AVIÃO;JATO;BIMOTOR;APROXIMAÇÃO FINAL;REGULAR;NENHUM
INCIDENTE;PA;1;NÃO;AVIÃO;TURBOÉLICE;BIMOTOR;CORRIDA APÓS POUSO;TÁXI AÉREO;LEVE
INCIDENTE;DF;1;NÃO;AVIÃO;JATO;BIMOTOR;PROCEDIMENTO DE APROXIMAÇÃO IFR;PRIVADA;NENHUM
INCIDENTE;RJ;1;NÃO;HELICÓPTERO;***;***;CRUZEIRO;TÁXI AÉREO;LEVE
INCIDENTE;RJ;1;NÃO;***;***;SEM TRAÇÃO;CRUZEIRO;INSTRUÇÃO;LEVE
ACIDENTE;RR;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;OUTRA FASE;PRIVADA;DESTRUÍDA
ACIDENTE;RR;1;NÃO;HELICÓPTERO;TURBOEIXO;MONOMOTOR;INDETERMINADA;PRIVADA;SUBSTANCIAL
INCIDENTE;MT;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;POUSO;PRIVADA;LEVE
ACIDENTE;MT;1;NÃO;AVIÃO;***;SEM TRAÇÃO;***;***;SUBSTANCIAL
INCIDENTE;RS;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;TÁXI;PRIVADA;LEVE
INCIDENTE;MT;1;NÃO;***;***;***;SUBIDA;REGULAR;NENHUM
INCIDENTE GRAVE;GO;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;MANOBRA;ESPECIALIZADA;NENHUM
INCIDENTE;RJ;1;NÃO;AVIÃO;0;BIMOTOR;APROXIMAÇÃO FINAL;PRIVADA;NENHUM
INCIDENTE GRAVE;MT;1;NÃO;AVIÃO;TURBOÉLICE;MONOMOTOR;CRUZEIRO;PRIVADA;NENHUM
INCIDENTE GRAVE;AM;1;SIM;AVIÃO;PISTÃO;MONOMOTOR;POUSO;TÁXI AÉREO;LEVE
ACIDENTE;MT;1;NÃO;AVIÃO;TURBOÉLICE;MONOMOTOR;MANOBRA;PRIVADA;DESTRUÍDA
INCIDENTE;SP;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;CORRIDA APÓS POUSO;PRIVADA;LEVE
INCIDENTE;MG;1;NÃO;AVIÃO;JATO;BIMOTOR;CORRIDA APÓS POUSO;REGULAR;LEVE
INCIDENTE;BA;1;NÃO;AVIÃO;TURBOÉLICE;BIMOTOR;DECOLAGEM;TÁXI AÉREO;LEVE
ACIDENTE;BA;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;CRUZEIRO;PRIVADA;SUBSTANCIAL
INCIDENTE;PR;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;CORRIDA APÓS POUSO;PRIVADA;LEVE
INCIDENTE;RO;1;NÃO;AVIÃO;PISTÃO;BIMOTOR;CRUZEIRO;PRIVADA;NENHUM
INCIDENTE;AM;1;NÃO;AVIÃO;JATO;BIMOTOR;APROXIMAÇÃO FINAL;REGULAR;NENHUM
INCIDENTE;AM;1;NÃO;***;JATO;BIMOTOR;SUBIDA;REGULAR;NENHUM
INCIDENTE;AM;1;NÃO;AVIÃO;JATO;BIMOTOR;SUBIDA;REGULAR;NENHUM
